state,highway,exit,latitude,longitude
AR,I530,37,34.2155934,-92.07153065
AR,I530,24,34.3870595,-92.1820005
AR,I530,35,34.2425675,-92.09230785
AR,I530,20,34.4395525,-92.196827
AR,I530,39,34.192956499999994,-92.06047000000001
AR,I530,27,34.3465245,-92.1716555
AR,I530,36,34.228016249999996,-92.07892985
AR,I530,32,34.286628,-92.119147
AR,I530,34,34.261536,-92.1043565
AR,I530,42,34.173313,-92.0241235
AR,I530,46,34.19902825,-91.96726735
AR,I530,44,34.1757221,-91.99032435000001
AR,I530,3,34.672828499999994,-92.265867
AR,I530,1A,34.7071571,-92.2700253
AR,I530,9,34.585754300000005,-92.26801215
AR,I530,138,34.712596500000004,-92.27044509999999
AR,I530,1B,34.7060276,-92.2700923
AR,I530,7,34.61774,-92.2688765
AR,I530,15,34.5079548,-92.21997585
AR,I530,12,34.54789585,-92.25193195
AR,I530,10,34.5704609,-92.2677607
AR,I540,3,35.42807,-94.33889289999999
AR,I540,2B,35.445037,-94.3199655
AR,I540,9,35.342834499999995,-94.376617
AR,I540,13,35.302977299999995,-94.41012985
AR,I540,6,35.384703,-94.3646095
AR,I540,11,35.327332,-94.39489
AR,I540,5,35.4032472,-94.36635615
AR,I540,14,35.2936969,-94.42372075
AR,I540,10,35.3371715,-94.3876825
AR,I540,8,35.355559,-94.365029
AR,I540,12,35.313026,-94.39977999999999
AR,I540,8A,35.363002,-94.365019
AR,I540,1AB,35.4525226,-94.3204531
AR,I540,2A,35.44953355,-94.3203765
AR,I540,8B,35.3599092,-94.3651533
CT,I91,39&41,41.8887959,-72.6522731
CT,I91,35A35B,41.8105505,-72.6629586
CT,I91,23,41.649751699999996,-72.6734436
CT,I91,45,41.9301637,-72.6087294
CT,I91,33,41.78698685,-72.6582474
CT,I91,37,41.852660400000005,-72.66411339999999
CT,I91,34,41.80435765,-72.6586031
CT,I91,36,41.8386912,-72.6652239
CT,I91,29A,41.76007465,-72.66474339999999
CT,I91,40,41.8982906,-72.63977464999999
CT,I91,20,41.57043075,-72.72479105
CT,I91,18,41.53779175,-72.76161074999999
CT,I91,15,41.479851,-72.77001465000001
CT,I91,8,41.32510775,-72.882515
CT,I91,3,41.312673149999995,-72.91287105
CT,I91,12,41.39989215,-72.84937145
CT,I91,11,41.3897492,-72.8651008
CT,I91,10,41.375322049999994,-72.86875415
CT,I91,9,41.3490965,-72.86776674999999
CT,I91,5,41.3150507,-72.9079163
CT,I91,6,41.317295,-72.90236970000001
CT,I91,32A32B,41.767855499999996,-72.66667805
CT,I91,22N,41.6304111,-72.689488
CT,I91,22NS,41.6167043,-72.6960449
CT,I91,21,41.60660075,-72.7026141
CT,I91,42,41.9123083,-72.6298562
CT,I91,35A,41.8183355,-72.6658686
CT,I91,38,41.8739733,-72.6624237
CT,I91,38A38B,41.8806744,-72.6612249
CT,I91,41&39,41.9086762,-72.6327354
CT,I91,19,41.5459914,-72.7492515
CT,I91,2526,41.7048153,-72.6445423
CT,I91,26,41.7163529,-72.6493568
CT,I91,25N,41.706067,-72.6450144
CT,I91,27,41.7379959,-72.6614439
CT,I91,46,41.9541955,-72.59899645
CT,I91,44,41.9224518,-72.61225669999999
CT,I91,49,42.020581,-72.58827285000001
CT,I91,47W,41.99239945,-72.58717229999999
CT,I91,47E,41.98792475,-72.5882165
CT,I91,48,41.9978239,-72.58581215000001
CT,I91,13,41.42304365,-72.82389315
CT,I91,14,41.4393313,-72.7972904
CT,I91,7,41.3196433,-72.8930175
CT,I91,31,41.7701795,-72.6687284
CT,I91,2,41.3082073,-72.9145568
CT,I91,35B,41.8228236,-72.6660935
CT,I91,17,41.5344241,-72.7671659
CT,I91,16,41.52126805,-72.77093105
CT,I91,30,41.7699548,-72.6687112
CT,I91,24,41.680629100000004,-72.65359065000001
CT,I91,4,41.3156946,-72.907792
CT,I91,29,41.7419424,-72.6628775
CT,I91,25S,41.7106079,-72.6463615
